value,date
127299.0,1952-01-01
127517.0,1952-02-01
127721.0,1952-03-01
127933.0,1952-04-01
128130.0,1952-05-01
128333.0,1952-06-01
128543.0,1952-07-01
128788.0,1952-08-01
129043.0,1952-09-01
129296.0,1952-10-01
129441.0,1952-11-01
129747.0,1952-12-01
129963.0,1953-01-01
130160.0,1953-02-01
130339.0,1953-03-01
130546.0,1953-04-01
130735.0,1953-05-01
130946.0,1953-06-01
131174.0,1953-07-01
131439.0,1953-08-01
131708.0,1953-09-01
131968.0,1953-10-01
132213.0,1953-11-01
132443.0,1953-12-01
132680.0,1954-01-01
132902.0,1954-02-01
133114.0,1954-03-01
133340.0,1954-04-01
133554.0,1954-05-01
133780.0,1954-06-01
134016.0,1954-07-01
134280.0,1954-08-01
134560.0,1954-09-01
134837.0,1954-10-01
135097.0,1954-11-01
135339.0,1954-12-01
135578.0,1955-01-01
135799.0,1955-02-01
136008.0,1955-03-01
136241.0,1955-04-01
136453.0,1955-05-01
136685.0,1955-06-01
136921.0,1955-07-01
137182.0,1955-08-01
137463.0,1955-09-01
137745.0,1955-10-01
138013.0,1955-11-01
138260.0,1955-12-01
138503.0,1956-01-01
138736.0,1956-02-01
138967.0,1956-03-01
139211.0,1956-04-01
139426.0,1956-05-01
139649.0,1956-06-01
139893.0,1956-07-01
140181.0,1956-08-01
140478.0,1956-09-01
140770.0,1956-10-01
141053.0,1956-11-01
141305.0,1956-12-01
141561.0,1957-01-01
141796.0,1957-02-01
142019.0,1957-03-01
142261.0,1957-04-01
142491.0,1957-05-01
142731.0,1957-06-01
142974.0,1957-07-01
143247.0,1957-08-01
143528.0,1957-09-01
143806.0,1957-10-01
144060.0,1957-11-01
144288.0,1957-12-01
144523.0,1958-01-01
144736.0,1958-02-01
144935.0,1958-03-01
145166.0,1958-04-01
145387.0,1958-05-01
145629.0,1958-06-01
145872.0,1958-07-01
146133.0,1958-08-01
146403.0,1958-09-01
146687.0,1958-10-01
146956.0,1958-11-01
147197.0,1958-12-01
147437.0,1959-01-01
147675.0,1959-02-01
147895.0,1959-03-01
148136.0,1959-04-01
148355.0,1959-05-01
148581.0,1959-06-01
148820.0,1959-07-01
149091.0,1959-08-01
149366.0,1959-09-01
149647.0,1959-10-01
149911.0,1959-11-01
150143.0,1959-12-01
150376.0,1960-01-01
150587.0,1960-02-01
150778.0,1960-03-01
150997.0,1960-04-01
151212.0,1960-05-01
151434.0,1960-06-01
151661.0,1960-07-01
151935.0,1960-08-01
152228.0,1960-09-01
152518.0,1960-10-01
152786.0,1960-11-01
153032.0,1960-12-01
153277.0,1961-01-01
153510.0,1961-02-01
153732.0,1961-03-01
153982.0,1961-04-01
154207.0,1961-05-01
154442.0,1961-06-01
154681.0,1961-07-01
154948.0,1961-08-01
155233.0,1961-09-01
155514.0,1961-10-01
155773.0,1961-11-01
156006.0,1961-12-01
156232.0,1962-01-01
156442.0,1962-02-01
156640.0,1962-03-01
156864.0,1962-04-01
157077.0,1962-05-01
157304.0,1962-06-01
157528.0,1962-07-01
157780.0,1962-08-01
158048.0,1962-09-01
158313.0,1962-10-01
158564.0,1962-11-01
158786.0,1962-12-01
159003.0,1963-01-01
159203.0,1963-02-01
159377.0,1963-03-01
159570.0,1963-04-01
159780.0,1963-05-01
160008.0,1963-06-01
160232.0,1963-07-01
160486.0,1963-08-01
160751.0,1963-09-01
161018.0,1963-10-01
161255.0,1963-11-01
161462.0,1963-12-01
161658.0,1964-01-01
161848.0,1964-02-01
162037.0,1964-03-01
162235.0,1964-04-01
162437.0,1964-05-01
162656.0,1964-06-01
162879.0,1964-07-01
163121.0,1964-08-01
163366.0,1964-09-01
163621.0,1964-10-01
163837.0,1964-11-01
164029.0,1964-12-01
164213.0,1965-01-01
164383.0,1965-02-01
164530.0,1965-03-01
164699.0,1965-04-01
164878.0,1965-05-01
165077.0,1965-06-01
165293.0,1965-07-01
165518.0,1965-08-01
165751.0,1965-09-01
165987.0,1965-10-01
166185.0,1965-11-01
166362.0,1965-12-01
166529.0,1966-01-01
166678.0,1966-02-01
166821.0,1966-03-01
166989.0,1966-04-01
167168.0,1966-05-01
167362.0,1966-06-01
167550.0,1966-07-01
167752.0,1966-08-01
167974.0,1966-09-01
168197.0,1966-10-01
168388.0,1966-11-01
168562.0,1966-12-01
168726.0,1967-01-01
168882.0,1967-02-01
169027.0,1967-03-01
169196.0,1967-04-01
169353.0,1967-05-01
169527.0,1967-06-01
169702.0,1967-07-01
169901.0,1967-08-01
170103.0,1967-09-01
170301.0,1967-10-01
170488.0,1967-11-01
170647.0,1967-12-01
170798.0,1968-01-01
170910.0,1968-02-01
171046.0,1968-03-01
171198.0,1968-04-01
171351.0,1968-05-01
171526.0,1968-06-01
171696.0,1968-07-01
171888.0,1968-08-01
172085.0,1968-09-01
172280.0,1968-10-01
172456.0,1968-11-01
172611.0,1968-12-01
172750.0,1969-01-01
